S,sigma,call,put
0.9,0.02,1.5302217622155593e-24,0.18717369026317965
0.9,0.05,7.87823394179246e-07,0.18717447808657395
0.9,0.1,0.0010637522527981239,0.18823744251597774
1.0,0.02,4.405850840374924e-08,0.08816875094677123
1.0,0.05,0.0009303343224234539,0.08909904121068624
1.0,0.1,0.01129050027719683,0.09945920716545975
1.1,0.02,0.015122905687909527,0.0042866292012554985
1.1,0.05,0.027462045328893292,0.016625768842239208
1.1,0.1,0.04884668317185836,0.03801040668520428
1.2,0.02,0.10984126252989013,2.668319201794218e-09
1.2,0.05,0.11040424848046038,0.0005629886188895684
1.2,0.1,0.11981214251698458,0.009970882655413876
